hotelName,locale,checkinDate,checkoutDate,tripType,tripPurpose,userLocation,rating,numOfDaysStay,reviewDate,reviewText
Rochavau Hotel,es,2024-12-30,2025-01-01,family_with_children,other,es,3.20000004768372,2,2025-01-02 07:52:28,"pros: La cercanía a la playa cons: Reserve dos habitaciones con dos camas y cuando llegamos nos las habían cambiado porque nos dijeron les había llegado un grupo grande y necesitaban nuestras habitaciones así que nos dieron dos con camas de matrimonio llego con dos niños de más de 180 cada uno y me los ponen en cama de matrimonio de 135 y nos dicen que creen que no pueden hacer nada porque están completos al final logramos que al menos una de las habitaciones la cambiaran.
Pero pienso que no pueden cambiar por su cuenta una reserva porque luego les llegue un grupo que quieran poner todo junto y no tengan más espacio.
Encima ese grupo llegaba al día siguiente.
La gestión de reservas un desastre."
Rochavau Hotel,pt-br,2024-10-04,2024-10-09,couple,business,br,4,5,2024-11-09 21:22:02,pros: Bom café da manhã. cons: Quando ia pegar café ou outros produtos batia a cabeça nos abajures em cima da mesa acho que esses deveriam estar mais altos. Máquina do café sempre apresentava um problema.
Rochavau Hotel,pt-pt,2024-10-10,2024-10-14,review_category_group_of_friends,leisure,pt,3.20000004768372,4,2024-10-15 11:44:41,pros: Localização simpatia dos funcionários e decoração cons: A garagem
Rochavau Hotel,es,2024-10-10,2024-10-14,couple,leisure,es,3.20000004768372,4,2024-10-15 09:01:10,pros:  cons: El parking con muchas columnas....difícil aparcar
Rochavau Hotel,pt-br,2024-10-09,2024-10-11,family_with_children,leisure,br,4,2,2024-10-12 00:26:38,pros: Fantástico!! limpeza conforto proximidade dos principais pontos custo/benefício excelente. café da manhã super top. Andreia a gerente  pura simpatia. viajamos em família em três casais maravilhoso. com certeza um dia voltaremos. cons: Do mau tempo...rsrsr
Rochavau Hotel,es,2024-09-28,2024-10-05,couple,leisure,es,3.59999990463257,7,2024-10-08 11:32:35,pros: Muy buen hotel cómodo y buenas calidades de las instalaciones. Muy cerca de la playa. cons: La verdade que los desayunos tienen mucho que mejorar colas para el café todo muy estrecho y tuvieron muchos problemas y desafortunadamente parecían no saber gestionar la ocurrencias. Mala experiencia por las mañanas espero mejoren con más variedad de desayuno y gestión.
Rochavau Hotel,pt-br,2024-10-04,2024-10-06,couple,leisure,br,4,2,2024-10-07 23:05:06,pros:  cons: A luz de emergencia dentro do quarto atrapalhava o sono
Rochavau Hotel,pt-br,2024-09-19,2024-09-21,couple,leisure,br,3.59999990463257,2,2024-09-24 18:03:58,"pros: cafe da manha
localizacao cons: "
Rochavau Hotel,es,2024-09-15,2024-09-21,solo_traveller,leisure,es,3.20000004768372,6,2024-09-22 02:04:01,pros: Localización y personal amable cons: La piscina estaba cerrada por obras
Rochavau Hotel,es,2024-09-17,2024-09-19,couple,leisure,es,3.59999990463257,2,2024-09-20 08:41:25,pros: En general todo cons: Nos a encantado todo
Rochavau Hotel,es,2024-09-12,2024-09-15,couple,leisure,es,3.59999990463257,3,2024-09-19 17:09:26,pros: El trato del personal fue muy agradable el desayuno del buffet era muy variado y de muy buena calidad y por último la habitación era justo lo que muestran además de que tenía un balcón muy coqueto cons: La cama era un poco dura
Rochavau Hotel,pt-br,2024-09-08,2024-09-09,couple,leisure,pt,4,1,2024-09-10 00:14:31,pros: Tudo confortável tudo estava incrível cons: Nada a reclamar estava tudo impecável
Rochavau Hotel,es,2024-09-04,2024-09-08,review_category_group_of_friends,leisure,es,4,4,2024-09-09 09:33:34,"pros: El desayuno estupendo variado y fresco todo. Riquísimo. 
La ubicación para mí fue perfecta justo al lado de las playas mas bonitas y menos llenas de gente. 
Todo muy moderno muy limpio y el personal super amable. Si vuelvo allí no buscaré otra cosa. Me encantó cons: ."
Rochavau Hotel,es,2024-08-31,2024-09-04,solo_traveller,leisure,es,3.59999990463257,4,2024-09-05 18:28:24,pros: La ubicación muy buena cons: La zona de la piscina es chiquita creo k debería tener más espacio para que la gente se anime más…
Rochavau Hotel,es,2024-08-30,2024-09-01,couple,leisure,es,3.20000004768372,2,2024-09-05 13:05:01,pros: La amplitud y comodidad de la habitación y el desayuno. Personal muy amable. cons: Lo único a lo  que le puedo poner pegas es que quizás el baño debería ser un poco más grande.
Rochavau Hotel,es,2024-08-25,2024-08-29,couple,leisure,es,4,4,2024-08-30 12:51:26,pros: Me encantó cons: Me gustó todo por poner un pero le falta un gym
Rochavau Hotel,pt-pt,2024-08-24,2024-08-28,couple,leisure,pt,4,4,2024-08-29 10:35:17,pros: O hotel em si  decoração tudo impecável. E os empregados incansáveis em ajudar e super simpáticos todos sem exceção ☺️.Adorei e voltarei sem dúvida . Os pequenos almoços bons e o cozinheiro sempre atento e prestável para não faltar nada. cons: 
Rochavau Hotel,pt-pt,2024-08-24,2024-08-28,couple,leisure,pt,4,4,2024-08-29 09:55:18,pros: tudo cons: nada
Rochavau Hotel,es,2024-08-19,2024-08-23,review_category_group_of_friends,leisure,es,3.59999990463257,4,2024-08-27 12:33:39,pros: El desayuno justito y la estancia para ello pequeña cons: El habitáculo del desayuno pequeño y el bufet justo
Rochavau Hotel,es,2024-08-23,2024-08-26,couple,leisure,es,3.59999990463257,3,2024-08-26 22:21:53,pros: la ubicación y el hotel estaba como nuevo cons: por decir algo el desayuno un pelin escaso en dulces y un poquito más de variedad
Rochavau Hotel,es,2024-08-14,2024-08-18,couple,leisure,es,3.59999990463257,4,2024-08-26 21:52:29,pros: Muchas cosas la limpieza el confort de las habitaciones y camas sobretodo. Todo muy nuevo y decorado con gusto. cons: Por decir algo. No tiene parking en el mismo edificio.
Rochavau Hotel,pt-pt,2024-08-20,2024-08-24,couple,leisure,pt,4,4,2024-08-25 11:56:12,pros: O hotel  tem um design moderno  muito bonito amai.😀 cons: Nao desgostei  de nada .
Rochavau Hotel,es,2024-08-19,2024-08-24,couple,leisure,es,3.59999990463257,5,2024-08-25 10:44:41,pros: El hotel está nuevotodo muy limpiomuy buena ubicaciónretirado del bulliciopero a 5 minutos andando del ocioal lado de la playa cons: En el desayuno habia poca variedad
Rochavau Hotel,pt-pt,2024-08-20,2024-08-24,family_with_children,leisure,pt,4,4,2024-08-25 02:05:21,pros: De tudo cons: Nada a apontar
Rochavau Hotel,es,2024-08-16,2024-08-20,couple,leisure,es,3.59999990463257,4,2024-08-21 09:06:41,pros: El hotel es acorde a las 4 estrellas cons: Todo bien
Rochavau Hotel,pt-pt,2024-08-11,2024-08-16,couple,leisure,pt,4,5,2024-08-20 15:23:23,"pros: Gostei bastante do conforto da cama hotel foi renovado há pouco tempo e está bastante bem decorado e moderno. 
O pequeno almoço era rico e completo sempre com fruta rica e saborosa com excelente variedade de outros produtos. cons: "
Rochavau Hotel,es,2024-08-14,2024-08-19,couple,leisure,es,4,5,2024-08-20 12:25:23,pros: Nos encantó todo el hotel los detalles la decoración la limpieza el trato del personal… volveríamos sin dudarlo. cons: Todo estuvo fenomenal no hubo nada que no nos gustara.
Rochavau Hotel,es,2024-08-15,2024-08-19,couple,leisure,es,3.59999990463257,4,2024-08-20 00:03:19,pros: Hotel muy nuevo cons: 
Rochavau Hotel,es,2024-08-15,2024-08-18,couple,leisure,es,3.59999990463257,3,2024-08-19 00:23:45,"pros: Muy bien decorado 
Buen desayuno y buena ubicación cons: "
Rochavau Hotel,es,2024-08-12,2024-08-15,couple,leisure,es,3.59999990463257,3,2024-08-16 18:59:26,pros: Su limpieza todo estaba muy nuevo cons: La espera para los desayunos mucho tiempo esperando solo 1 hora abierto el desayuno para tanta gente: deberían gestionarlo mejor
Rochavau Hotel,es,2024-07-29,2024-08-01,family_with_children,leisure,es,4,3,2024-08-15 20:42:10,pros: En Desayuno especialmente Señorita CATI fue muy amable y en mostrador turuno de noches Sr. Francisco quiero agradecer muchos cons: 
Rochavau Hotel,pt-pt,2024-08-09,2024-08-14,couple,leisure,pt,4,5,2024-08-14 22:38:09,pros: Gostamos de tudo em geral o quarto muito limpo todos os dias a simpatia dos funcionários o pequeno almoço muito bom muita variada. A localização boa. cons: 
Rochavau Hotel,es,2024-08-07,2024-08-11,review_category_group_of_friends,leisure,es,3.59999990463257,4,2024-08-12 00:27:42,pros: Buena ubicación limpio y buenas instalaciones. cons: Piscina pequeña y poca variedad en el desayuno.
Rochavau Hotel,es-ar,2024-07-30,2024-08-04,review_category_group_of_friends,leisure,es,4,5,2024-08-05 12:08:39,pros: El hotel es muy bonito y está bien ubicado. Las habitaciones cuentan con todas las comodidades. El desayuno es súper completo y delicioso. cons: Si bien en general el personal es amable no todos han sido así. Algo llamativo en un hotel de 4 estrellas.
Rochavau Hotel,es,2024-08-01,2024-08-04,couple,leisure,es,3.59999990463257,3,2024-08-05 09:59:01,pros: Limpieza y amplitud de la habitación. cons: Parking un poco complicado.
Rochavau Hotel,es,2024-07-29,2024-08-03,family_with_children,leisure,es,4,5,2024-08-04 17:51:48,pros: Todo cons: 
Rochavau Hotel,pt-pt,2024-07-19,2024-07-25,couple,leisure,pt,3.20000004768372,6,2024-07-29 16:56:57,pros: Gostei de tudo no geral quanto ao pequeno almoço é excelente cons: O que menos gostei foi do estacionamento. É um pouco difícil estacionar num espaço tão apertado.
Rochavau Hotel,pt-pt,2024-07-22,2024-07-28,couple,leisure,ch,4,6,2024-07-28 15:41:52,pros: Um Hotel muito limpo com quartos muito agradáveis e um pequeno almoço muito bom com muita variade para todos os gostos. Vamos voltar com certeza 😊 cons: 
Rochavau Hotel,pt-pt,2024-07-15,2024-07-19,family_with_children,leisure,de,3.20000004768372,4,2024-07-25 23:47:34,"pros: Pequeno-almoço maravilhoso! Um agradecimento especial ao funcionário do bar na hora do pequeno-almoço pela simpatia e qualidade do serviço!
Um agradecimento especial ao senhor da receção que nos atendeu com tanta simpatia e profissionalismo quando pedimos para extender a estadia por mais uma noite! cons: O bar poderia estar aberto até um pouco mais tarde. Poderiam ser disponibilizados copos para as escovas de dentes nos quartos."
Rochavau Hotel,pt-pt,2024-07-17,2024-07-21,couple,leisure,pt,3.20000004768372,4,2024-07-25 13:39:05,"pros: Hotel muito agradável com uma óptima localização e staff de uma simpatia e educação notáveis. Fomos muito bem recebidos e gostámos imenso de praticamente tudo da nossa estadia. A repetir! cons: O meu único reparo talvez fosse para os horários de pequeno almoço que terminam excessivamente cedo para quem procura uns dias de descanso e se vê ""obrigado"" a levantar tão cedo mas também não é um aspecto que nos fizesse desistir de regressar."
Rochavau Hotel,es,2024-06-18,2024-06-25,couple,leisure,es,3.20000004768372,7,2024-07-24 18:40:45,pros: Bien cons: 
Rochavau Hotel,pt-pt,2024-07-17,2024-07-21,couple,leisure,pt,3.59999990463257,4,2024-07-21 17:39:20,pros: Excelente localização limpeza ótima as funcionárias da limpeza eram maravilhosas cons: Os funcionários ao pequeno-almoço todos os dias me perguntavam cerca de 3x o número do quarto (cada vez um funcionário diferente) não havia comunicação entre os mesmos
Rochavau Hotel,es,2024-07-13,2024-07-20,couple,leisure,es,4,7,2024-07-20 22:33:58,pros: Ubicación estupenda personal amabilísimo e instalaciones renovadas completamente. Casi puedo decir que olía a nuevo! cons: Únicamente si pudiera poner un punto de mejora sería el sistema del secador de pelo en lugar de pulsar haciendo fuerza con la mano todo el rato (se hace muy incómodo) pondría un secador con botón de encendido/apagado al uso.
Rochavau Hotel,es,2024-07-11,2024-07-14,couple,leisure,es,4,3,2024-07-18 23:31:31,pros: Absolutamente todo es perfecto es de los hoteles más bonitos que he estado la decoración la limpieza el colchón el parking desayuno todo de 10. Tuvimos un problema con el aire acondicionado y nos cambiaron en seguida de habitación. El año que viene volveremos sin duda! Gracias cons: 
Rochavau Hotel,es,2024-07-09,2024-07-15,couple,leisure,es,3.20000004768372,6,2024-07-16 10:00:19,"pros: El hotel en general muy bien. Es un 4 estrellas aunque a lo que estamos acostumbrados en España es como un 3 estrellas.

Todo lo demás genial. La limpieza de 10. El idioma perfecto. Y la ubicación muy muy buena. Está justo enfrente a apenas 2 minutos a pie de la Prais Do Amado que es una cala que bajando unas escaleras es espectácular.

Sin ninguna duda repetiría este hotel aunque me gustaría que cambiarán el desayuno. Por lo demás perfecto cons: Empiezo con las pegas y es el desayuno buffet. Muy muy escaso y todos los días lo mismo. Hemos estado una semana y no ha cambiado. Por poner alguna pega sería esta. Recomiendo coger solo alojamiento o con desayuno como mucho."
Rochavau Hotel,pt-pt,2024-05-13,2024-05-15,couple,leisure,pt,4,2,2024-07-14 22:25:59,pros: Quartos espaçosos e correspondeu em tudo as nossas expetativas cons: Gostei de tudo
Rochavau Hotel,es,2024-07-01,2024-07-08,couple,leisure,es,3.20000004768372,7,2024-07-09 00:22:03,pros: Ubicación al lado playas y zona restaurantes y copas   limpieza  ropa de cama y baño desayuno variado y rico. Acogedor. cons: La piscina. Sin zona verde y demasiado aireada
Rochavau Hotel,es,2024-07-03,2024-07-06,couple,leisure,es,4,3,2024-07-07 18:11:21,pros: El desayuno bueno  ubicación muy buena cons: 
Rochavau Hotel,es,2024-05-31,2024-06-02,couple,leisure,es,4,2,2024-07-07 01:32:28,"pros: Excelente hotel instalaciones muy nuevas. Servicio inmejorable y desayuno exquisito.
Cerca de todo buen ambiente y un lugar ideal para desconectar y relajarte.
El hotel tienen parking bajo coste pero merece la pena.
Sin duda repetiremos. cons: "
Rochavau Hotel,pt-br,2024-06-09,2024-06-13,solo_traveller,leisure,br,4,4,2024-07-06 23:46:52,"pros: O hotel novo decoração moderna amplo bem iluminado. Quarto super limpinho.
Ar condicionado silencioso
Cama e travesseiros confortáveis otima roupa de cama e banho. 
Banheiro moderno excelente chuveiro boas amenidades de banho: Shampoo Condicionador Creme Corporal
Deixam gentilmente sem cobrança adicional: agua e uma maquina de café para consumo.
Boa localização fácil de estacionar pelas ruas adjacentes ao hotel.
Café da Manhã/Pequeno almoço muito bom a equipe que cuida desse serviço é muito gentil prestativos e atenciosos fizeram toda a diferença. As maquinas de café disponiveis são otimas aumentando ainda mais as opções com: expresso machiatto cappucino chocolate quente. Boa variedade de frutas ovos mexidos. Boa variedade de pães. Um dos melhores cafés da manhã durante as minhas hospedagens por Portugal. 
Equipe da Recepção bem educada também. cons: O estacionamento/garagem oferecido pelo hotel é ruim vagas apertadas dificil de movimentação interna dos veiculos para estacionar a um alto custo por noite. Melhor parar nas ruas proximas."
Rochavau Hotel,pt-br,2024-06-17,2024-06-21,couple,leisure,br,3.20000004768372,4,2024-07-02 05:04:49,pros: pequeno almoço muito bom cons: precisa incluir na diária estacionamento para carro
Rochavau Hotel,pt-pt,2024-06-19,2024-06-21,review_category_group_of_friends,business,pt,3.20000004768372,2,2024-06-25 13:42:22,pros: Bom pequeno almço cons: Estacionar na zona não e facil
Rochavau Hotel,pt-br,2024-06-22,2024-06-24,couple,leisure,pt,4,2,2024-06-24 22:22:38,pros: Hotel muito bonito limpeza impecável quarto excelente tudo muito bom cons: O quarto poderia ter uma cama de casal e não duas de solteiro
Rochavau Hotel,pt-pt,2024-06-16,2024-06-23,couple,leisure,pt,3.59999990463257,7,2024-06-24 21:35:52,pros: Instalações e staff. cons: Falta de estacionamento.
Rochavau Hotel,es,2024-06-16,2024-06-20,couple,leisure,es,4,4,2024-06-23 18:39:39,pros: Sitio super recomendable para quedarse en Portimao. Buena ubicación buena atención por parte del personal buena limpieza buen desayuno y buena piscina. Recomendable también si vas en coche (hay sitios gratis cerca) y también si vas con niños. Si volvemos a esta ciudad repetiremos hotel. cons: -
Rochavau Hotel,pt-pt,2024-06-06,2024-06-07,review_category_group_of_friends,leisure,pt,3.20000004768372,1,2024-06-23 13:12:25,"pros: Apesar de não ter sido reservado foi-nos disponibilizado com pagamento adicional o acesso à garagem.
A localização é boa e bastante central.
O pequeno almoço estava bem servido e com bastante variedade. cons: Tivemos que trocar de quarto porque não nos entregaram inicialmente (e conforme reservado) o quarto Twin.
Algo demorado o Check In. Não há estacionamento na porta principal."
Rochavau Hotel,pt-br,2024-06-08,2024-06-12,review_category_group_of_friends,leisure,es,3.20000004768372,4,2024-06-20 22:42:06,pros: Cama confortável cafeteira água grátis limpeza cons: Nada a declarar. Estava tudo a nosso gosto.
Rochavau Hotel,es,2024-06-14,2024-06-17,couple,leisure,es,4,3,2024-06-18 12:19:19,pros: El hotel en sí nos ha encantadomuchos detalles que hacen la estancia muy cómoda y la ubicación es perfectaen la playa do amado que es preciosacon un paseo y un chiringuito al lado inolvidables. cons: 
Rochavau Hotel,es,2024-06-11,2024-06-15,couple,leisure,es,3.20000004768372,4,2024-06-17 23:30:37,pros:  cons: ———
Rochavau Hotel,es,2024-06-12,2024-06-16,couple,leisure,es,3.59999990463257,4,2024-06-17 14:00:04,pros: El Hotel parece recién reformado es muy bonito y acogedor. Posiblemente sea el más limpio en el que he estado todos los días nos recogían la habitación y nos la dejaban perfecta. El desayuno no era muy variado pero todo estaba muy rico. El personal muy amable. Sin duda para repetir. cons: Por poner una pega diría que estaría bien un poco mas de variedad en el desayuno. Pero todo lo demás estupendo.
Rochavau Hotel,es,2024-06-02,2024-06-08,couple,leisure,es,3.20000004768372,6,2024-06-09 07:58:29,pros: La localización cons: Hacen las habitaciones muy tarde algún día llegamos después de las 15:00 y la habitación estaba sin hacer...
Rochavau Hotel,pt-br,2024-06-06,2024-06-08,couple,leisure,br,3.59999990463257,2,2024-06-09 07:32:28,pros: Localização  café da manhã cons: Ter que pagar caução de 30 euros para utilizar toalha de piscina
Rochavau Hotel,pt-pt,2024-06-05,2024-06-07,couple,leisure,pt,4,2,2024-06-08 19:01:29,pros: Decoração  serviços e higiene das instalações. cons: 
