hotelName,language,checkinDate,checkoutDate,tripType,tripPurpose,country,rating,numOfDaysStay,reviewDate,reviewText
Portugal Boutique Hotel,en-us,2024-10-08,2024-10-09,couple,leisure,us,4,1,2024-10-13 16:32:29,pros: Very clean and comfortable.. staff very helpful! Rooms beautiful! cons: 
Portugal Boutique Hotel,en-gb,2024-10-11,2024-10-12,couple,leisure,ph,3.59999990463257,1,2024-10-13 09:46:45,pros: Lots of choices for breakfast cons: We were put in a room which was noisy due to the train.
Portugal Boutique Hotel,en-us,2024-10-11,2024-10-12,review_category_group_of_friends,leisure,us,4,1,2024-10-12 22:11:51,pros: We loved everything - the accommodations the staff the breakfast. Staff were friendly and helpful. The manager João went above and beyond. Breakfast was delicious. We will definitely visit again. cons: 
Portugal Boutique Hotel,en-us,2024-09-28,2024-09-29,couple,leisure,us,4,1,2024-10-09 03:14:24,pros: Beautiful property with a beautiful staff!  Great location and we loved the roof top bar around the corner at the sister property. cons: N/A
Portugal Boutique Hotel,en-gb,2024-09-06,2024-09-10,couple,leisure,gb,4,4,2024-10-07 14:37:25,pros: Lovely room. Very Clean. Ample breakfast. Very central. cons: Lights in room complicated.
Portugal Boutique Hotel,en-gb,2024-09-26,2024-10-02,couple,leisure,cy,3.59999990463257,6,2024-10-06 14:18:01,"pros: We like mostly the room.
The breakfast area was relatively small. cons: There was no sitting room with couches for coffee drinks and sweets."
Portugal Boutique Hotel,en-gb,2024-09-06,2024-09-07,couple,leisure,na,3.59999990463257,1,2024-10-04 12:16:26,pros: Was pleasantly surprised with the room as we received a bath with the skylight and the location of the hotel was absolutely perfect for our purpose. cons: Breakfast was a disdappointment compared to the standard the hotel set with the location friendliness and location.  The spread was not up to standard with the hotel's expectations
Portugal Boutique Hotel,en-us,2024-09-29,2024-10-02,couple,leisure,us,4,3,2024-10-02 23:09:10,pros: The rooms are absolutely Elegant and beautiful: double height ceilings Separate shower and bathtub double sinks toilet and bidet. The location was very central. We could walk to everything. We left our car in their parking facility at a neighboring hotel. cons: Nothing!
Portugal Boutique Hotel,en-us,2024-09-26,2024-09-28,couple,leisure,ca,4,2,2024-09-29 18:40:09,pros: The hotel is centrally located next to Rossio Square. The room was exceptional with great amenities that included an abundance of soft towels great toiletries and an excellent bathroom with an oversized shower and a bidet. The sheets were high end and the bed super comfortable with a turn down service topped with a chocolate treat. The staff were super friendly and most helpful including those who served the lovely breakfast. Overall this is a wonderful place to stay. cons: During this visit which was the second over the two weeks we were in Portugal there was nothing I was unhappy with.
Portugal Boutique Hotel,en-us,2024-09-24,2024-09-28,couple,leisure,gb,3.59999990463257,4,2024-09-28 22:45:29,pros: Spacious well appointed room cons: The shower wasn't powerful enough
Portugal Boutique Hotel,en-us,2024-09-23,2024-09-26,solo_traveller,leisure,us,3.59999990463257,3,2024-09-26 22:31:23,"pros: Breakfast is OK good enough to start the day 
Big rooms and  bathrooms. 
Very comfortable beds and great pillows. 
Everything was cleaned very well daily.
Highly recommend cons: "
Portugal Boutique Hotel,en-us,2024-09-12,2024-09-14,couple,leisure,us,4,2,2024-09-24 15:32:15,pros: The Portugal Boutique Hotel is one of my favorite hotels. The staff were friendly and accommodating and went out of the way to make us feel welcome. Each night we had a tray of treats waiting for us.  One night they provided a small bottle of Ginjinha the most iconic drink of Lisbon dating back to the 13th century. On our last evening we had a lovely personalized note thanking us for our stay. The room was spacious and quiet - the wonderful shutters helped to keep it quiet and dark (we actually overslept the first morning it was so comfortable). The bathroom was outstanding with both a shower and a bathtub. Breakfast was superb with many choices (and oh that fabulous orange juice) which you could enjoy either inside or outside on their terrace (which we did). I could not have asked for a better location. It was within walking distance of all that we wanted to see. If we ever find ourselves in Lisbon again we will absolutely stay here again Thank you for a wonderful few days and nights! cons: The only thing that could have been better is that we had been able to stay an additional night or two! I can't think of a single thing that needed improvement! Wonderful hotel.
Portugal Boutique Hotel,en-gb,2024-08-21,2024-08-24,couple,leisure,au,4,3,2024-09-21 01:21:47,pros: Clean bright fabulous location super helpful staff. Loved everything cons: Nothing
Portugal Boutique Hotel,en-us,2024-08-21,2024-08-24,couple,leisure,us,3.59999990463257,3,2024-09-20 16:03:46,pros: Great location very friendly staff comfortable room cons: Nothing worth mentioning
Portugal Boutique Hotel,en-gb,2024-09-15,2024-09-19,couple,leisure,ca,4,4,2024-09-19 23:06:26,pros: The breakfast was great and the service provided by all the staff was excellent. The amenities linens and quality of the towels was first class. The support and attention to all requests was exceptional. cons: Not really anything to complain about.
Portugal Boutique Hotel,en-us,2024-09-09,2024-09-11,couple,leisure,us,4,2,2024-09-16 17:04:43,pros: AMAZING staff who warmly greeted us and were available to assist in any way. Our room was luxurious and we were treated with sweet & savory treats each day. Wonderful breakfast and close to transportation and sights. cons: 
Portugal Boutique Hotel,en-gb,2024-08-24,2024-08-29,couple,leisure,gb,4,5,2024-09-16 10:55:03,"pros: For my wife and I the best experience was Hotel during our visit and most definitely one of the best hotels we have stayed in. All staff members were excellent but 3 stood out to us the most:

Carlos works as a manager for the breakfast service and was incredible. He would always greet us well and go the extra mile to make sure we were well looked after. He made us feel like family and each time we saw him it was a delight to interact and learn about the Portuguese culture. 

In addition we were doing a trip to Sintra where we saw one of the breakfast team staff members on the train (I wish we had taken his name for this review). They could have easily ignored us but it was clear the level of respect they had for themselves and their job that they smiled and greeted us on the train when they didn't have to. 

João the Hotel Manager was great too. The hotel offer a view of their wine cellar and you can try their hotel made wines too. We was under the impression that the experience would be around 30-45 mins long but my wife and I had such a great experience with João and with his teachings of Portuguese wines and culture that we was there for over 2 hours. It was a great experience and with creating this great relationship with João João and the team would always go the extra mile to come talk and just share great learnings with us. 

We appreciate that for some people a Hotel may just be a place of sleep but in honesty the experience here was more than that for us. Everyone was truly great and just being able to interact with the staff on a more personal level you do really get to experience more than just place to sleep. 

Great Hotel great team and great experience (also in a great location too). cons: "
Portugal Boutique Hotel,en-gb,2024-08-21,2024-08-24,review_category_group_of_friends,leisure,au,3.59999990463257,3,2024-09-15 10:15:04,"pros: The hotel was a real find in Lisbon. The rooms were spacious beautifully appointed and very comfortable.
The breakfast spread was simple but delicious and plentiful and the staff very accommodating.
The hotel's location was excellent and as out room faced the interior courtyard was very quiet.
Access to the sister hotel's rooftop bar was a bonus as it has excellent views of Lisbon and the amazing sunsets.
The best thing about the hotel was the staff. The hotel manager made our group feel very special by inviting us to a private wine tasting. The reception staff were very knowledgeable about the city. One example staff of going above and beyond was when we advised them of our very early departure they had breakfast packs ready for our party of eight and also switched on the coffee machine early to offer us coffees before we left. cons: "
Portugal Boutique Hotel,en-us,2024-09-08,2024-09-11,couple,leisure,us,3.20000004768372,3,2024-09-12 08:32:25,pros: Great location to see many Lisbon sites by foot or take a trolley  bus underground train. Very good buffet breakfast. The hotel is modern and staff are wonderful. Beds are comfy. cons: Noisy - downside is that you can hear the underground rumble noise of the transit train all night long .  Sleep was an issue for us due to city noise and the train.
